scheme,comparison,system,control,eer_diff,eer_lo,eer_hi,eer_excludes_zero,tdcf_diff,tdcf_lo,tdcf_hi,tdcf_excludes_zero,corr_eer,sign_consistency
speaker-clustered,pred 2b: aggressive waveform augmentation,flatten_T400_aug,flatten_T400,-7.022256130346361,-9.418863478625036,-4.597370764281244,True,-0.15119561312779006,-0.18910881147278819,-0.11463499253763615,True,0.3491832885353281,1.0
speaker-clustered,pred 2a: mild waveform augmentation,flatten_T400_aug1,flatten_T400,-5.701490706196757,-7.745210031320317,-3.6342154363729775,True,-0.1352552600985198,-0.17315270084767354,-0.09822309623951002,True,0.5112687881643734,1.0
speaker-clustered,pred 1: shorter T transfers better,baseline_T250,T400,-2.213558207438239,-3.3500035029938875,-1.0266393930813225,True,-0.05254686335325429,-0.07326084483970641,-0.031249694493510425,True,0.8190368222302508,1.0
speaker-clustered,pred 3: CMVN transfers better,cmvn_T400,T400,5.421360298896447,3.005111805384239,7.842753196126606,True,0.03870826377427271,0.02442498898227175,0.05606369862878681,True,0.3842396211932699,1.0
speaker-clustered,headline: best vs best official baseline,flatten_T400_aug,CQCC-GMM,-5.31272216748228,-9.37426789651815,-1.5306337720633425,True,-0.10470730033786771,-0.17598862452628722,-0.032704251212612286,True,0.18813743198631863,0.9965
speaker-clustered,central claim: CQT-LCNN vs MFCC-SVM,flatten_T400_aug,MFCC-SVM,-16.968810881277665,-20.410283735384095,-13.43987101857021,True,-0.1654344556420832,-0.20813835989793447,-0.12377720638992834,True,0.191492782129709,1.0
speaker-clustered,front-end: CQT vs LFCC (both unaugmented),flatten_T400,LFCC-LCNN,-5.038475830112815,-7.725298498695361,-2.4184685976755524,True,-0.00902965207313374,-0.023061010223066777,0.001989578096784699,False,0.25057840529471953,1.0
speaker-clustered,head: flatten vs timepool at T=400,flatten_T400,T400,1.6972699095485377,0.605362809991304,2.7585439280868354,True,0.028086343038237753,0.0186945987683657,0.03805261253563518,True,0.7687639375485279,0.9975
speaker-clustered,T axis: 150 vs 400,T150,T400,-3.5980494790687434,-4.600932285529548,-2.6113840814308604,True,-0.056282394916570534,-0.07281423483588437,-0.039400879593218294,True,0.8061844615764905,1.0
trial-level,pred 2b: aggressive waveform augmentation,flatten_T400_aug,flatten_T400,-7.0832312787220415,-7.259963153559804,-6.915040250961849,True,-0.1527760956714871,-0.15600575747428272,-0.14942224737319465,True,0.38230142036767034,1.0
trial-level,pred 2a: mild waveform augmentation,flatten_T400_aug1,flatten_T400,-5.741465238798883,-5.917540608591746,-5.579773973715136,True,-0.13621899686630162,-0.1392801574819468,-0.13335342152137467,True,0.45007591590247076,1.0
trial-level,pred 1: shorter T transfers better,baseline_T250,T400,-2.215913920349484,-2.3710601738078076,-2.0667906559206455,True,-0.05294464876937692,-0.0559835111944586,-0.05011277048343494,True,0.5882677285760547,1.0
trial-level,pred 3: CMVN transfers better,cmvn_T400,T400,5.436103165701976,5.25772346271237,5.614995102818761,True,0.03823114765074913,0.03582628904927359,0.040612499521291805,True,0.46341430191655164,1.0
trial-level,headline: best vs best official baseline,flatten_T400_aug,CQCC-GMM,-5.401686166565251,-5.599965827300392,-5.202449864897577,True,-0.10842913497484921,-0.11271973238023165,-0.10405077249778422,True,0.16254654131206567,1.0
trial-level,central claim: CQT-LCNN vs MFCC-SVM,flatten_T400_aug,MFCC-SVM,-16.962641797626674,-17.189483069113688,-16.72412912773609,True,-0.16550908396415998,-0.1686993769149447,-0.1619418891971621,True,-0.004480306540277887,1.0
trial-level,front-end: CQT vs LFCC (both unaugmented),flatten_T400,LFCC-LCNN,-5.0157554491144,-5.215486240095084,-4.817832224389638,True,-0.008426332910805736,-0.0107399070394334,-0.006138514885976377,True,0.3278972762737699,1.0
trial-level,head: flatten vs timepool at T=400,flatten_T400,T400,1.7167731731652185,1.5795302888158955,1.8553509997303115,True,0.028760902857817662,0.026869541314264566,0.030664001047408726,True,0.6750537092590654,1.0
trial-level,T axis: 150 vs 400,T150,T400,-3.610124078272505,-3.7664722230971313,-3.4500784999357386,True,-0.05693820483590843,-0.059863395496060234,-0.05406956431534847,True,0.5517691094825031,1.0
